sequence,functional_domain,source_reference,title,source_scope,spec_path
121,patient-identity-management,UC-Participant-Identity-18,Protect My Identity Information,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-18-protect-my-identity-information/spec.md
122,patient-identity-management,UC-Participant-Identity-19,Report Suspected Identity Misuse,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-19-report-suspected-identity-misuse/spec.md
123,patient-identity-management,UC-Participant-Identity-20,Receive Confirmation of Identity Changes,Scope - Identity,openspec/specs/patient-identity-management/uc-participant-identity-20-receive-confirmation-of-identity-changes/spec.md
124,patient-identity-management,UC-Participant-Demographics-1,View My Demographic Information,Scope – Participant Demographics,openspec/specs/patient-identity-management/uc-participant-demographics-1-view-my-demographic-information/spec.md
125,patient-identity-management,UC-Participant-Demographics-2,Update My Residential Address,Scope – Participant Demographics,openspec/specs/patient-identity-management/uc-participant-demographics-2-update-my-residential-address/spec.md
126,patient-identity-management,UC-Participant-Demographics-3,Update My Postal Address,Scope – Participant Demographics,openspec/specs/patient-identity-management/uc-participant-demographics-3-update-my-postal-address/spec.md
127,patient-identity-management,UC-Participant-Demographics-4,Update My Contact Details,Scope – Participant Demographics,openspec/specs/patient-identity-management/uc-participant-demographics-4-update-my-contact-details/spec.md
128,patient-identity-management,UC-Participant-Demographics-5,Update My Preferred Communication Method,Scope – Participant Demographics,openspec/specs/patient-identity-management/uc-participant-demographics-5-update-my-preferred-communication-method/spec.md
129,patient-identity-management,UC-Participant-Demographics-6,Update My Preferred Language,Scope – Participant Demographics,openspec/specs/patient-identity-management/uc-participant-demographics-6-update-my-preferred-language/spec.md
130,patient-identity-management,UC-Participant-Demographics-7,Request Interpreter Services,Scope – Participant Demographics,openspec/specs/patient-identity-management/uc-participant-demographics-7-request-interpreter-services/spec.md
131,patient-identity-management,UC-Participant-Demographics-8,Update My Cultural Information,Scope – Participant Demographics,openspec/specs/patient-identity-management/uc-participant-demographics-8-update-my-cultural-information/spec.md
132,patient-identity-management,UC-Participant-Demographics-9,Update My Indigenous Status,Scope – Participant Demographics,openspec/specs/patient-identity-management/uc-participant-demographics-9-update-my-indigenous-status/spec.md
133,patient-identity-management,UC-Participant-Demographics-10,Update My Marital Status,Scope – Participant Demographics,openspec/specs/patient-identity-management/uc-participant-demographics-10-update-my-marital-status/spec.md
134,patient-identity-management,UC-Participant-Demographics-11,Update My Occupation,Scope – Participant Demographics,openspec/specs/patient-identity-management/uc-participant-demographics-11-update-my-occupation/spec.md
